CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Tenure_Group,R_Score,F_Score,M_Score,RFM_Score
50015,1,9,Mobile Phone,3,15,Credit Card,Male,3,4,Fashion,2,Single,2,0,16,0,4,7,196.19,Stable (6-12 months),1,3,3,7
50016,1,10,Mobile Phone,2,12,UPI,Male,3,3,Mobile Phone,5,Married,5,1,22,1,1,2,120.72999999999999,Stable (6-12 months),3,1,1,5
50017,1,0,Computer,1,12,Debit Card,Female,3,4,Mobile Phone,2,Single,2,1,18,1,1,0,129.26,New (< 3 months),3,1,1,5
50018,1,0,Mobile Phone,3,11,E wallet,Male,2,4,Laptop & Accessory,3,Single,2,1,11,1,1,3,157.44,New (< 3 months),2,1,2,5
50019,1,0,Computer,1,13,Debit Card,Male,3,5,Laptop & Accessory,3,Single,2,1,24,1,1,6,160.74,New (< 3 months),1,1,2,4
50020,1,19,Mobile Phone,1,20,Debit Card,Female,3,3,Mobile Phone,4,Divorced,10,1,18,1,4,3,149.63,Loyal (12+ months),2,3,1,6
50021,1,0,Mobile Phone,3,12,Debit Card,Male,3,5,Laptop & Accessory,3,Divorced,5,1,18,6,7,7,161.72,New (< 3 months),1,3,2,6
50022,1,20,Mobile Phone,1,29,Credit Card,Female,3,3,Fashion,2,Divorced,2,0,12,11,15,6,203.12,Loyal (12+ months),1,3,3,7
50023,1,10,Mobile Phone,3,28,E wallet,Male,2,3,Mobile Phone,3,Single,2,1,19,0,1,0,116.75,Stable (6-12 months),3,1,1,5
50024,1,0,Mobile Phone,3,26,Debit Card,Female,3,5,Laptop & Accessory,3,Divorced,4,1,11,1,2,2,145.59,New (< 3 months),3,1,1,5
50025,1,14,Computer,1,14,Debit Card,Male,2,5,Fashion,2,Single,3,0,15,0,1,3,206.5,Loyal (12+ months),2,1,3,6
50026,1,0,Mobile Phone,1,15,Credit Card,Female,2,3,Mobile Phone,5,Single,8,0,22,1,1,4,142.0,New (< 3 months),2,1,1,4
50027,0,8,Mobile Phone,3,6,E wallet,Male,3,3,Fashion,4,Divorced,2,0,13,1,1,6,172.95,Stable (6-12 months),1,1,2,4
50028,0,10,Mobile Phone,3,12,E wallet,Male,2,3,Laptop & Accessory,3,Divorced,3,1,20,0,4,5,123.06,Stable (6-12 months),2,3,1,6
50029,0,18,Mobile Phone,1,16,Debit Card,Male,2,3,Laptop & Accessory,4,Married,9,0,18,1,1,15,123.47999999999999,Loyal (12+ months),1,1,1,3
50030,0,5,Computer,3,14,E wallet,Female,2,3,Fashion,2,Single,2,0,14,2,3,7,189.98,Recent (3-6 months),1,3,3,7
50031,0,2,Computer,1,6,Cash on Delivery,Male,2,3,Laptop & Accessory,3,Divorced,2,0,13,0,1,9,143.19,New (< 3 months),1,1,1,3
50032,0,0,Mobile Phone,1,13,Credit Card,Male,2,4,Laptop & Accessory,3,Divorced,3,0,17,1,1,0,161.32,New (< 3 months),3,1,2,6
50033,0,30,Mobile Phone,1,15,Credit Card,Female,3,4,Mobile Phone,4,Divorced,5,1,20,1,1,0,133.46,Loyal (12+ months),3,1,1,5
50034,0,13,Mobile Phone,3,10,E wallet,Male,3,4,Fashion,2,Divorced,8,0,11,2,2,11,208.55,Loyal (12+ months),1,1,3,5
50035,0,10,Computer,3,8,E wallet,Female,3,3,Mobile Phone,3,Divorced,7,0,18,1,1,2,122.31,Stable (6-12 months),3,1,1,5
50036,0,0,Mobile Phone,1,16,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,24,0,2,2,123.22999999999999,New (< 3 months),3,1,1,5
50037,0,10,Computer,1,15,Credit Card,Male,2,3,Mobile Phone,4,Married,7,0,18,0,2,2,120.24000000000001,Stable (6-12 months),3,1,1,5
50038,0,1,Mobile Phone,1,27,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,11,0,1,2,127.13,New (< 3 months),3,1,1,5
50039,0,30,Mobile Phone,1,30,Debit Card,Male,2,2,Fashion,2,Married,4,1,16,1,1,4,194.39,Loyal (12+ months),2,1,3,6
50040,0,0,Computer,1,16,Credit Card,Male,3,4,Mobile Phone,3,Married,2,1,15,0,1,1,125.66,New (< 3 months),3,1,1,5
50041,0,23,Mobile Phone,1,17,Debit Card,Female,2,3,Others,4,Single,4,0,16,2,4,4,299.26,Loyal (12+ months),2,3,3,8
50042,0,14,Mobile Phone,1,16,Debit Card,Male,2,3,Mobile Phone,3,Married,5,0,12,1,1,8,124.50999999999999,Loyal (12+ months),1,1,1,3
50043,0,3,Mobile Phone,3,11,Debit Card,Female,2,3,Fashion,2,Divorced,3,0,12,2,7,4,194.19,New (< 3 months),2,3,3,8
50044,0,11,Mobile Phone,3,6,Debit Card,Female,2,4,Laptop & Accessory,2,Single,5,0,22,1,1,1,186.86,Stable (6-12 months),3,1,3,7
50045,0,5,Mobile Phone,1,12,Debit Card,Male,3,3,Mobile Phone,3,Single,4,0,20,0,1,4,130.38,Recent (3-6 months),2,1,1,4
50046,0,0,Mobile Phone,1,23,Cash on Delivery,Male,3,3,Mobile Phone,4,Divorced,1,1,16,1,1,1,130.58,New (< 3 months),3,1,1,5
50047,1,0,Computer,3,16,Cash on Delivery,Female,3,5,Mobile Phone,5,Single,1,0,21,1,1,0,123.25,New (< 3 months),3,1,1,5
50048,0,10,Computer,1,9,Credit Card,Male,1,3,Mobile Phone,4,Single,5,0,12,4,7,2,120.88,Stable (6-12 months),3,3,1,7
50049,0,3,Computer,1,15,Credit Card,Male,3,3,Laptop & Accessory,5,Married,2,0,11,0,6,10,130.72,New (< 3 months),1,3,1,5
50050,0,18,Mobile Phone,3,10,Debit Card,Female,1,3,Laptop & Accessory,5,Married,5,1,11,0,1,3,150.06,Loyal (12+ months),2,1,2,5
50051,0,29,Mobile Phone,1,14,Debit Card,Female,3,3,Mobile Phone,5,Married,5,1,18,1,2,2,142.57,Loyal (12+ months),3,1,1,5
50052,0,6,Mobile Phone,1,16,Debit Card,Male,2,3,Mobile Phone,2,Single,1,0,14,0,1,2,125.0,Recent (3-6 months),3,1,1,5
50053,1,0,Mobile Phone,1,8,Debit Card,Male,2,4,Mobile Phone,2,Single,2,0,22,0,1,0,111.02000000000001,New (< 3 months),3,1,1,5
50054,0,19,Mobile Phone,3,6,E wallet,Female,3,3,Fashion,5,Married,2,0,25,4,15,7,204.53,Loyal (12+ months),1,3,3,7
50055,0,10,Mobile Phone,1,15,Debit Card,Female,3,3,Mobile Phone,2,Single,2,0,12,1,2,1,122.88,Stable (6-12 months),3,1,1,5
50056,0,4,Mobile Phone,1,18,Credit Card,Female,3,3,Mobile Phone,2,Divorced,9,1,23,1,1,2,139.29,Recent (3-6 months),3,1,1,5
50057,0,10,Mobile Phone,1,33,Credit Card,Female,3,3,Mobile Phone,4,Single,3,0,15,1,1,2,123.11000000000001,Stable (6-12 months),3,1,1,5
50058,1,4,Mobile Phone,3,26,E wallet,Female,3,3,Mobile Phone,4,Single,2,1,22,0,1,2,131.4,Recent (3-6 months),3,1,1,5
50059,0,23,Mobile Phone,1,6,Credit Card,Male,2,4,Mobile Phone,3,Divorced,3,0,15,0,1,2,136.9,Loyal (12+ months),3,1,1,5
50060,0,26,Mobile Phone,1,19,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,0,11,1,1,3,144.5,Loyal (12+ months),2,1,1,4
50061,0,6,Mobile Phone,1,20,Credit Card,Female,3,3,Mobile Phone,4,Divorced,2,0,13,0,1,6,127.56,Recent (3-6 months),1,1,1,3
50062,0,13,Mobile Phone,1,10,Credit Card,Female,2,3,Others,3,Divorced,2,0,14,2,9,9,290.33,Loyal (12+ months),1,3,3,7
50063,0,28,Mobile Phone,1,20,Credit Card,Male,3,2,Others,4,Single,9,0,11,2,2,15,287.22,Loyal (12+ months),1,1,3,5
50064,0,7,Computer,1,8,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,2,0,17,0,1,9,195.47,Stable (6-12 months),1,1,3,5
50065,0,24,Mobile Phone,1,9,Credit Card,Female,3,3,Grocery,4,Single,4,0,18,0,3,0,237.33999999999997,Loyal (12+ months),3,3,3,9
50066,0,25,Mobile Phone,1,6,Debit Card,Male,3,4,Others,3,Divorced,1,0,16,1,11,9,299.99,Loyal (12+ months),1,3,3,7
50067,0,10,Mobile Phone,1,15,Credit Card,Female,2,3,Mobile Phone,4,Single,2,0,16,1,1,3,122.78999999999999,Stable (6-12 months),2,1,1,4
50068,1,0,Mobile Phone,1,29,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,4,1,13,1,1,1,159.16,New (< 3 months),3,1,2,6
50069,0,10,Computer,1,13,Credit Card,Male,2,2,Mobile Phone,2,Married,5,0,14,0,2,2,120.88999999999999,Stable (6-12 months),3,1,1,5
50070,0,18,Computer,1,8,Credit Card,Male,3,4,Grocery,2,Divorced,10,0,23,2,11,8,267.92,Loyal (12+ months),1,3,3,7
50071,0,10,Mobile Phone,1,27,Debit Card,Male,3,2,Mobile Phone,5,Divorced,2,1,12,0,1,7,135.64,Stable (6-12 months),1,1,1,3
50072,0,8,Computer,1,8,Credit Card,Female,2,3,Laptop & Accessory,4,Single,6,0,11,1,1,2,144.25,Stable (6-12 months),3,1,1,5
50073,0,15,Computer,1,27,Credit Card,Female,2,3,Laptop & Accessory,3,Married,3,0,16,0,1,2,152.65,Loyal (12+ months),3,1,2,6
50074,0,11,Mobile Phone,1,8,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,10,0,14,0,1,0,165.53,Stable (6-12 months),3,1,2,6
50075,0,11,Mobile Phone,1,35,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,0,18,0,1,7,162.61,Stable (6-12 months),1,1,2,4
50076,0,0,Computer,1,6,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Divorced,6,0,19,0,2,0,142.98,New (< 3 months),3,1,1,5
50077,0,22,Computer,1,24,Debit Card,Male,3,3,Laptop & Accessory,2,Married,2,1,15,0,1,7,168.04,Loyal (12+ months),1,1,2,4
50078,0,7,Computer,1,16,Credit Card,Male,2,3,Mobile Phone,3,Married,2,1,17,2,2,0,138.15,Stable (6-12 months),3,1,1,5
50079,0,13,Mobile Phone,1,25,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,9,1,15,1,3,7,127.41,Loyal (12+ months),1,3,1,5
50080,1,1,Mobile Phone,1,35,Credit Card,Male,3,3,Laptop & Accessory,5,Divorced,8,1,19,0,1,0,166.73,New (< 3 months),3,1,2,6
50081,1,0,Mobile Phone,3,33,E wallet,Female,2,3,Fashion,2,Divorced,2,0,22,1,1,9,176.39,New (< 3 months),1,1,2,4
50082,0,0,Mobile Phone,1,16,Debit Card,Male,2,2,Mobile Phone,4,Married,2,1,16,0,2,2,123.28,New (< 3 months),3,1,1,5
50083,0,10,Computer,1,24,Credit Card,Female,3,3,Mobile Phone,2,Single,2,0,13,1,1,7,121.53,Stable (6-12 months),1,1,1,3
50084,0,13,Computer,1,15,Debit Card,Male,3,4,Laptop & Accessory,2,Divorced,10,0,14,1,1,2,148.76,Loyal (12+ months),3,1,1,5
50085,0,19,Mobile Phone,1,6,Credit Card,Male,3,3,Fashion,5,Married,8,0,16,0,1,3,193.96,Loyal (12+ months),2,1,3,6
50086,1,0,Mobile Phone,3,10,Credit Card,Male,2,5,Fashion,2,Divorced,2,0,11,7,9,8,204.0,New (< 3 months),1,3,3,7
50087,0,3,Computer,1,6,Debit Card,Male,2,4,Fashion,3,Single,2,0,22,2,5,8,184.74,New (< 3 months),1,3,3,7
50088,0,0,Computer,3,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single,2,0,14,1,1,7,199.81,New (< 3 months),1,1,3,5
50089,0,24,Mobile Phone,1,14,Debit Card,Male,2,4,Fashion,4,Divorced,6,0,16,1,4,5,224.89999999999998,Loyal (12+ months),2,3,3,8
50090,1,0,Mobile Phone,1,16,Cash on Delivery,Female,2,3,Mobile Phone,5,Single,6,1,11,1,1,4,126.57,New (< 3 months),2,1,1,4
50091,0,14,Mobile Phone,3,12,Debit Card,Female,3,3,Fashion,2,Single,4,1,18,0,3,0,235.91000000000003,Loyal (12+ months),3,3,3,9
50092,1,0,Computer,3,32,E wallet,Female,2,4,Laptop & Accessory,5,Single,6,0,15,0,1,1,166.96,New (< 3 months),3,1,2,6
50093,1,10,Mobile Phone,1,6,Cash on Delivery,Male,2,3,Mobile Phone,3,Single,1,0,14,0,1,5,120.58000000000001,Stable (6-12 months),2,1,1,4
50094,0,18,Computer,3,12,Credit Card,Female,2,4,Fashion,2,Single,7,0,12,12,12,8,188.65,Loyal (12+ months),1,3,3,7
50095,0,27,Mobile Phone,3,9,E wallet,Female,2,3,Laptop & Accessory,5,Divorced,3,0,14,1,1,5,159.4,Loyal (12+ months),2,1,2,5
50096,0,9,Mobile Phone,1,11,Debit Card,Male,3,3,Laptop & Accessory,4,Single,9,0,16,0,3,7,159.14,Stable (6-12 months),1,3,2,6
50097,0,6,Mobile Phone,1,16,Credit Card,Female,2,4,Mobile Phone,4,Divorced,7,0,21,0,1,1,126.22,Recent (3-6 months),3,1,1,5
50098,0,10,Computer,1,17,UPI,Male,2,3,Fashion,2,Married,2,1,14,0,1,5,221.85000000000002,Stable (6-12 months),2,1,3,6
50099,0,11,Mobile Phone,3,9,Debit Card,Male,3,3,Fashion,3,Married,1,0,12,1,5,13,206.08999999999997,Stable (6-12 months),1,3,3,7
50100,0,4,Computer,1,6,Credit Card,Male,2,5,Laptop & Accessory,3,Divorced,1,0,12,1,1,4,143.45,Recent (3-6 months),2,1,1,4
50101,0,10,Mobile Phone,1,9,Debit Card,Male,3,4,Mobile Phone,2,Divorced,4,0,17,0,1,0,121.77000000000001,Stable (6-12 months),3,1,1,5
50102,0,10,Computer,3,10,E wallet,Male,2,3,Mobile Phone,2,Married,5,0,17,1,5,8,0.0,Stable (6-12 months),1,3,1,5
50103,0,2,Computer,3,6,Credit Card,Female,2,3,Fashion,2,Divorced,2,0,14,4,4,1,179.18,New (< 3 months),3,3,2,8
50104,0,8,Computer,3,6,E wallet,Female,3,3,Fashion,3,Single,2,0,14,1,1,8,187.89,Stable (6-12 months),1,1,3,5
50105,1,0,Mobile Phone,1,16,Credit Card,Male,2,4,Mobile Phone,2,Single,2,1,13,0,1,1,123.88999999999999,New (< 3 months),3,1,1,5
50106,0,25,Mobile Phone,1,8,Debit Card,Female,2,4,Mobile Phone,2,Single,8,0,15,0,2,2,132.12,Loyal (12+ months),3,1,1,5
50107,0,15,Mobile Phone,1,10,Cash on Delivery,Male,2,3,Others,2,Divorced,2,0,16,0,11,15,292.32,Loyal (12+ months),1,3,3,7
50108,0,10,Mobile Phone,2,12,Credit Card,Male,2,3,Mobile Phone,3,Divorced,9,0,17,2,2,2,122.66999999999999,Stable (6-12 months),3,1,1,5
50109,0,23,Mobile Phone,3,6,Credit Card,Female,3,3,Others,2,Married,4,0,16,1,1,6,295.17,Loyal (12+ months),1,1,3,5
50110,1,0,Mobile Phone,1,16,Credit Card,Male,2,3,Mobile Phone,2,Divorced,6,1,13,0,1,4,124.36000000000001,New (< 3 months),2,1,1,4
50111,0,16,Mobile Phone,3,22,E wallet,Female,3,3,Grocery,2,Divorced,6,1,22,0,3,9,260.64,Loyal (12+ months),1,3,3,7
50112,1,0,Mobile Phone,1,8,Debit Card,Female,3,3,Mobile Phone,5,Divorced,8,0,20,1,1,7,127.07,New (< 3 months),1,1,1,3
50113,0,25,Computer,3,8,Debit Card,Male,3,4,Others,3,Single,2,1,18,2,15,12,290.68,Loyal (12+ months),1,3,3,7
50114,0,5,Mobile Phone,3,10,Debit Card,Female,2,3,Mobile Phone,4,Divorced,3,0,11,1,1,2,139.31,Recent (3-6 months),3,1,1,5
50115,1,0,Mobile Phone,1,6,Debit Card,Male,3,4,Mobile Phone,3,Single,1,1,14,1,1,2,137.3,New (< 3 months),3,1,1,5
50116,0,10,Mobile Phone,1,6,Credit Card,Female,3,3,Mobile Phone,3,Married,8,0,14,0,1,2,122.32,Stable (6-12 months),3,1,1,5
50117,0,5,Computer,3,32,E wallet,Male,3,3,Laptop & Accessory,2,Divorced,1,0,18,1,2,2,144.65,Recent (3-6 months),3,1,1,5
50118,0,14,Mobile Phone,1,25,Debit Card,Male,3,3,Laptop & Accessory,5,Married,3,0,16,1,1,0,130.72,Loyal (12+ months),3,1,1,5
50119,0,13,Mobile Phone,1,30,Cash on Delivery,Male,3,3,Laptop & Accessory,2,Married,2,0,17,2,4,7,133.19,Loyal (12+ months),1,3,1,5
50120,0,18,Mobile Phone,1,6,UPI,Male,3,2,Others,2,Divorced,1,0,16,1,1,7,292.02,Loyal (12+ months),1,1,3,5
50121,0,4,Computer,1,9,Credit Card,Male,3,3,Fashion,3,Married,10,0,12,1,3,2,236.75,Recent (3-6 months),3,3,3,9
50122,0,6,Mobile Phone,1,11,Debit Card,Female,3,4,Mobile Phone,2,Divorced,2,0,13,0,1,2,129.11,Recent (3-6 months),3,1,1,5
50123,0,7,Mobile Phone,1,8,Debit Card,Male,2,4,Laptop & Accessory,5,Divorced,7,0,13,0,5,9,159.57,Stable (6-12 months),1,3,2,6
50124,0,10,Mobile Phone,1,6,Credit Card,Female,2,4,Mobile Phone,5,Divorced,3,0,14,1,1,2,139.2,Stable (6-12 months),3,1,1,5
50125,0,18,Computer,1,13,Debit Card,Male,3,2,Laptop & Accessory,3,Divorced,5,0,17,0,1,2,164.34,Loyal (12+ months),3,1,2,6
50126,1,0,Computer,1,16,Credit Card,Male,3,3,Fashion,3,Married,7,0,11,1,1,0,200.48,New (< 3 months),3,1,3,7
50127,0,12,Computer,1,8,Cash on Delivery,Female,3,3,Fashion,3,Single,1,0,25,10,11,5,209.38,Stable (6-12 months),2,3,3,8
50128,0,2,Mobile Phone,1,16,Debit Card,Male,2,3,Mobile Phone,2,Single,2,0,19,0,1,5,123.4,New (< 3 months),2,1,1,4
50129,0,15,Mobile Phone,1,23,Debit Card,Female,2,2,Laptop & Accessory,5,Single,4,1,13,0,1,2,165.45,Loyal (12+ months),3,1,2,6
50130,0,2,Mobile Phone,3,26,E wallet,Male,2,3,Laptop & Accessory,2,Married,3,0,14,1,1,2,169.31,New (< 3 months),3,1,2,6
50131,0,0,Mobile Phone,1,6,Debit Card,Female,3,3,Laptop & Accessory,3,Divorced,1,0,12,1,1,2,148.98,New (< 3 months),3,1,1,5
50132,0,15,Mobile Phone,1,16,Credit Card,Female,2,4,Mobile Phone,5,Married,1,1,11,4,7,8,125.93,Loyal (12+ months),1,3,1,5
50133,0,13,Mobile Phone,1,8,Credit Card,Male,2,3,Others,3,Married,1,0,16,0,3,9,294.36,Loyal (12+ months),1,3,3,7
50134,0,24,Mobile Phone,1,6,Debit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,11,1,1,0,127.22999999999999,Loyal (12+ months),3,1,1,5
50135,1,0,Computer,1,35,Credit Card,Male,3,4,Mobile Phone,4,Single,1,0,11,1,1,4,134.79,New (< 3 months),2,1,1,4
50136,0,5,Computer,1,13,Debit Card,Male,3,2,Mobile Phone,4,Divorced,2,0,20,0,1,3,127.94,Recent (3-6 months),2,1,1,4
50137,0,11,Computer,3,8,Debit Card,Male,2,4,Laptop & Accessory,2,Divorced,4,0,18,6,7,5,152.49,Stable (6-12 months),2,3,2,7
50138,0,10,Mobile Phone,1,8,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Single,5,0,13,0,1,4,121.75999999999999,Stable (6-12 months),2,1,1,4
50139,0,19,Mobile Phone,3,8,Cash on Delivery,Female,3,5,Grocery,4,Divorced,4,1,12,2,7,7,268.72,Loyal (12+ months),1,3,3,7
50140,1,0,Mobile Phone,1,8,Debit Card,Male,3,3,Mobile Phone,3,Single,3,0,11,1,1,0,134.85,New (< 3 months),3,1,1,5
50141,0,2,Mobile Phone,3,8,Credit Card,Male,3,4,Laptop & Accessory,4,Divorced,3,0,19,0,1,0,166.44,New (< 3 months),3,1,2,6
50142,0,4,Mobile Phone,1,29,Credit Card,Male,3,4,Laptop & Accessory,2,Divorced,1,0,21,1,7,8,155.82,Recent (3-6 months),1,3,2,6
50143,0,0,Computer,1,11,Debit Card,Male,2,2,Laptop & Accessory,5,Married,2,0,12,1,1,5,140.0,New (< 3 months),2,1,1,4
50144,0,18,Mobile Phone,1,26,Credit Card,Male,3,3,Grocery,2,Divorced,1,1,14,0,3,10,234.95999999999998,Loyal (12+ months),1,3,3,7
50145,0,9,Mobile Phone,1,12,Debit Card,Male,2,3,Mobile Phone,2,Divorced,1,0,11,4,10,11,132.1,Stable (6-12 months),1,3,1,5
50146,0,28,Mobile Phone,1,6,Credit Card,Male,2,3,Others,5,Single,1,1,14,2,4,13,290.45,Loyal (12+ months),1,3,3,7
50147,1,10,Computer,1,35,Debit Card,Male,2,3,Fashion,4,Divorced,2,1,12,5,9,5,218.49,Stable (6-12 months),2,3,3,8
50148,0,10,Mobile Phone,1,15,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,23,1,1,4,120.69999999999999,Stable (6-12 months),2,1,1,4
50149,0,10,Mobile Phone,3,12,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,5,0,14,0,1,1,165.02,Stable (6-12 months),3,1,2,6
50150,0,0,Mobile Phone,1,9,Credit Card,Male,3,4,Mobile Phone,3,Single,2,0,17,1,1,0,132.3,New (< 3 months),3,1,1,5
50151,0,10,Computer,1,6,Credit Card,Female,0,3,Fashion,2,Married,3,1,18,0,3,2,236.02999999999997,Stable (6-12 months),3,3,3,9
50152,0,2,Mobile Phone,1,28,Debit Card,Female,3,2,Fashion,4,Married,8,0,18,5,6,5,219.95999999999998,New (< 3 months),2,3,3,8
50153,0,11,Mobile Phone,3,13,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,1,24,0,7,7,156.05,Stable (6-12 months),1,3,2,6
50154,0,0,Computer,1,6,Debit Card,Female,2,3,Laptop & Accessory,4,Married,2,0,20,0,1,4,163.97,New (< 3 months),2,1,2,5
50155,0,23,Mobile Phone,1,10,Debit Card,Male,3,3,Others,4,Married,4,0,14,2,1,6,291.44,Loyal (12+ months),1,1,3,5
50156,0,26,Mobile Phone,1,9,Credit Card,Male,2,3,Grocery,3,Divorced,4,1,16,2,1,3,275.84,Loyal (12+ months),2,1,3,6
50157,0,15,Mobile Phone,3,6,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,2,0,25,4,11,6,149.07,Loyal (12+ months),1,3,1,5
50158,0,2,Computer,3,8,Debit Card,Male,2,3,Laptop & Accessory,2,Single,2,0,18,0,1,9,145.54,New (< 3 months),1,1,1,3
50159,0,28,Mobile Phone,1,26,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,1,19,1,1,8,154.15,Loyal (12+ months),1,1,2,4
50160,0,0,Computer,1,17,Credit Card,Male,2,3,Laptop & Accessory,5,Divorced,2,1,13,2,3,3,147.41,New (< 3 months),2,3,1,6
50161,0,10,Mobile Phone,1,6,Debit Card,Female,2,3,Mobile Phone,2,Single,2,0,12,1,5,7,121.15,Stable (6-12 months),1,3,1,5
50162,1,7,Computer,1,30,Debit Card,Male,3,3,Mobile Phone,3,Married,4,1,22,0,1,0,131.61,Stable (6-12 months),3,1,1,5
50163,0,11,Mobile Phone,1,29,Debit Card,Male,2,3,Laptop & Accessory,2,Married,10,0,14,0,1,2,157.45,Stable (6-12 months),3,1,2,6
50164,1,0,Mobile Phone,1,16,Credit Card,Male,2,3,Mobile Phone,4,Married,3,1,13,1,1,2,123.72999999999999,New (< 3 months),3,1,1,5
50165,0,1,Mobile Phone,1,14,Debit Card,Female,3,3,Mobile Phone,2,Single,2,0,21,0,1,2,133.1,New (< 3 months),3,1,1,5
50166,0,22,Computer,1,16,Debit Card,Female,2,3,Others,5,Single,10,1,11,2,1,2,286.65,Loyal (12+ months),3,1,3,7
50167,0,9,Mobile Phone,1,9,Cash on Delivery,Male,1,3,Laptop & Accessory,4,Single,5,0,12,6,7,7,144.85,Stable (6-12 months),1,3,1,5
50168,0,4,Computer,3,11,E wallet,Female,3,3,Mobile Phone,4,Married,2,0,11,0,2,2,127.88999999999999,Recent (3-6 months),3,1,1,5
50169,1,0,Mobile Phone,3,10,E wallet,Male,2,4,Laptop & Accessory,2,Single,2,1,12,7,7,4,158.28,New (< 3 months),2,3,2,7
50170,0,10,Computer,1,16,Credit Card,Male,2,3,Mobile Phone,2,Divorced,2,1,12,0,1,2,123.25999999999999,Stable (6-12 months),3,1,1,5
50171,0,15,Computer,3,32,E wallet,Female,3,3,Grocery,4,Divorced,6,0,14,2,3,8,235.25,Loyal (12+ months),1,3,3,7
50172,1,10,Mobile Phone,1,9,Debit Card,Male,2,3,Mobile Phone,3,Single,2,0,13,0,1,0,114.19999999999999,Stable (6-12 months),3,1,1,5
50173,0,8,Mobile Phone,3,22,E wallet,Male,3,3,Fashion,4,Divorced,1,0,15,3,6,9,180.2,Stable (6-12 months),1,3,2,6
